"resultId","raceId","driverId","constructorId","number","grid","position","positionText","positionOrder","points","laps","time","milliseconds","fastestLap","rank","fastestLapTime","fastestLapSpeed","statusId","team","teamnat"
23795,989,840,3,"18",13,"14","14",14,0,58,"+1:18.288","5451571","55","14","1:28.511","215.688",1,"Williams","British"
23797,989,154,210,"8",6,"\N","R",16,0,24,"\N","\N","23","16","1:28.805","214.974",36,"Haas F1 Team","American"
23798,989,825,210,"20",5,"\N","R",17,0,22,"\N","\N","21","17","1:29.534","213.224",36,"Haas F1 Team","American"
23801,989,845,3,"35",19,"\N","R",20,0,4,"\N","\N","3","20","1:32.573","206.224",23,"Williams","British"
23802,990,20,6,"5",1,"1","1",1,25,57,"1:32:01.940","5521940","21","7","1:34.453","206.274",1,"Ferrari","Italian"
23803,990,822,131,"77",3,"2","2",2,18,57,"+0.699","5522639","22","1","1:33.740","207.842",1,"Mercedes","German"
23804,990,1,131,"44",9,"3","3",3,15,57,"+6.512","5528452","51","2","1:33.953","207.371",1,"Mercedes","German"
23806,990,825,210,"20",6,"5","5",5,10,57,"+1:15.046","5596986","29","5","1:34.327","206.549",1,"Haas F1 Team","American"
23808,990,4,1,"14",13,"7","7",7,6,56,"\N","\N","47","4","1:34.168","206.898",11,"McLaren","British"
23809,990,838,1,"2",14,"8","8",8,4,56,"\N","\N","30","16","1:35.131","204.803",11,"McLaren","British"
23814,990,154,210,"8",16,"13","13",13,0,56,"\N","\N","44","10","1:34.689","205.759",11,"Haas F1 Team","American"
23815,990,840,3,"18",20,"14","14",14,0,56,"\N","\N","40","13","1:35.058","204.961",11,"Williams","British"
23816,990,845,3,"35",18,"15","15",15,0,56,"\N","\N","47","3","1:34.053","207.151",11,"Williams","British"
23819,990,8,6,"7",2,"\N","R",18,0,35,"\N","\N","22","6","1:34.337","206.527",36,"Ferrari","Italian"
23820,990,830,9,"33",15,"\N","R",19,0,3,"\N","\N","\N","0","\N","\N",29,"Red Bull","Austrian"
23821,990,817,9,"3",4,"\N","R",20,0,1,"\N","\N","\N","0","\N","\N",10,"Red Bull","Austrian"
23822,991,817,9,"3",6,"1","1",1,25,56,"1:35:36.380","5736380","55","1","1:35.785","204.871",1,"Red Bull","Austrian"
23823,991,822,131,"77",3,"2","2",2,18,56,"+8.894","5745274","50","6","1:36.987","202.332",1,"Mercedes","German"
23824,991,8,6,"7",2,"3","3",3,15,56,"+9.637","5746017","48","3","1:36.456","203.446",1,"Ferrari","Italian"
23825,991,1,131,"44",4,"4","4",4,12,56,"+16.985","5753365","20","4","1:36.878","202.559",1,"Mercedes","German"
23826,991,830,9,"33",5,"5","5",5,10,56,"+20.436","5756816","50","2","1:36.206","203.974",1,"Red Bull","Austrian"
